modal,regiao,endereco_retirada,data_hora
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-08 16:36:24.002
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-09 18:52:49.069
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-12 16:41:58.233
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-13 11:13:19.160
BICYCLE,NOVA IGUACU,"rua espirito santo, 108, Andrade Araujo, Nova Iguaçu, Brazil",2020-11-14 19:25:22.246
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-14 19:25:28.542
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-14 20:18:27.297
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-14 20:48:45.570
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-14 21:58:11.691
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-14 22:27:37.939
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-20 20:12:43.784
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-11-20 21:00:01.510
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-21 09:33:01.723
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-21 11:55:31.244
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-21 12:00:37.151
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-23 19:14:39.670
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-27 09:08:07.479
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-27 09:14:32.834
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-27 14:07:22.439
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-27 15:02:50.995
BICYCLE,NOVA IGUACU,"Rua Antônio Caetano Alves, 509, Jardim Tropical, NOVA IGUACU, Brazil",2020-11-27 15:10:54.463
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-27 15:56:38.958
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-27 15:58:13.491
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-28 09:14:26.402
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-11-28 10:00:41.160
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-28 11:21:23.746
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-28 12:00:09.839
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-28 12:44:52.819
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-28 16:01:54.064
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-28 16:04:45.715
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-28 19:03:34.220
BICYCLE,NOVA IGUACU,"Rua praça do comércio, 1, SANTA CECILIA, BELFORD ROXO, Brazil",2020-11-29 19:16:49.111
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-29 19:58:47.800
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-29 20:15:20.365
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-29 20:19:26.260
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-30 20:26:23.797
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-30 21:17:12.745
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-30 21:35:58.261
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-11-30 22:15:53.216
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-01 11:09:20.808
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-01 11:19:06.246
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-01 12:01:16.912
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-01 15:06:43.039
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-01 16:15:29.841
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-01 16:31:07.955
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-01 16:36:04.149
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-01 18:05:32.552
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, NOVA IGUACU, RIO DE JANEIRO, Brazil",2020-12-02 11:58:26.401
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-02 13:25:41.289
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-02 13:58:01.013
BICYCLE,NOVA IGUACU,"Rua Maria Leopoldina, 667, Prata, NOVA IGUACU, Brazil",2020-12-02 16:18:46.279
BICYCLE,NOVA IGUACU,"Rua Maria Leopoldina, 667, Prata, NOVA IGUACU, Brazil",2020-12-02 16:19:21.539
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-02 17:28:58.031
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-02 17:34:23.095
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-03 18:38:51.334
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-03 19:01:57.176
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-03 20:09:47.806
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-03 21:28:03.432
BICYCLE,NOVA IGUACU,"Rodovia Presidente Dutra, 13006, Prata, NOVA IGUACU, Brazil",2020-12-04 09:42:58.255
