artista,musica,tempo,data
Febem,CRIME,188330,2021-03-10 20:57:00
FBC,Levar a Sério,146898,2021-03-10 20:59:00
SD9,40°.40,196000,2021-03-10 21:03:00
Kyan,Chefin,2501,2021-03-10 21:03:00
Derxan,Chumbo,33383,2021-03-10 21:03:00
Fleezus,City Runners (feat. Kyan),4956,2021-03-10 21:03:00
VND,7 Balas / Dono da Rua,8956,2021-03-10 21:04:00
Flacko,Ai Calica,3120,2021-03-10 21:04:00
Fleezus,Revolta,2520,2021-03-10 21:04:00
LEALL,"Os Pitbull do Ano, Pt. 2",65547,2021-03-10 21:05:00
Diomedes Chinaski,O Aprendiz,108414,2021-03-10 21:07:00
Emicida,Triunfo (A Rua É Nóiz),0,2021-03-10 21:07:00
509-E,Oitavo Anjo,0,2021-03-10 21:09:00
Emicida,Triunfo (A Rua É Nóiz),0,2021-03-10 21:09:00
Racionais MC's,"Vida Loka, Pt. 1",303560,2021-03-10 21:28:00
Sabotage,Rap É Compromisso,160028,2021-03-10 21:30:00
Djonga,JUNHO DE 94,329008,2021-03-10 22:10:00
Criolo,Subirusdoistiozin,213573,2021-03-10 22:14:00
Black Alien,Babylon By Gus,97079,2021-03-10 22:15:00
Marcelo D2,Desabafo / Deixa Eu Dizer,175666,2021-03-10 22:18:00
Emicida,Triunfo (A Rua É Nóiz),209373,2021-03-10 22:22:00
Edi Rock,That's My Way,14634,2021-03-10 22:38:00
Edi Rock,That's My Way,325449,2021-03-10 22:45:00
Gabriel O Pensador,Cachimbo da Paz (feat. Lulu Santos),333106,2021-03-10 22:51:00
Pineapple StormTv,Poetisas no Topo 2,556662,2021-03-10 23:00:00
Planet Hemp,Mantenha o Respeito,196200,2021-03-10 23:03:00
Rincon Sapiência,Ponta de Lança (Verso Livre),214165,2021-03-10 23:07:00
Rashid,Bilhete 2.0 (feat. Luccas Carlos),223488,2021-03-10 23:11:00
Baco Exu do Blues,Te Amo Disgraça,290400,2021-03-10 23:16:00
Don L,Beira de Piscina (Remix),229889,2021-03-10 23:19:00
Filipe Ret,Invicto,256988,2021-03-10 23:24:00
